	USD
1602	26.8801
1603	27.0079
1604	27.0836
1605	27.0895
1606	27.0369
1607	26.9869
1608	27.0379
1609	27.045
1610	27.0163
1611	26.9738
1612	27.0491
1613	27.1021
1614	27.0334
1615	27.0611
1616	27.0789
1617	26.9423
1618	26.8735
1619	26.8397
1620	26.8559
1621	26.9111
1622	26.8781
1623	26.8558
1624	26.9125
1625	26.867
1626	26.9189
1627	26.9631
1628	26.9277
1629	27.0194
1630	27.0554
1631	26.9674
1632	26.9122
1633	26.9223
1634	26.9073
1635	26.9878
1636	26.8431
1637	26.8718
1638	26.8197
1639	26.8416
1640	26.7605
1641	26.804
1642	26.771
1643	26.6962
1644	26.7348
1645	26.7391
1646	26.6738
1647	26.793
1648	26.8189
1649	26.8337
1650	26.7804
1651	26.7225
1652	26.7364
1653	26.705
1654	26.6964
1655	26.7614
1656	26.7863
1657	26.7998
1658	26.7672
1659	26.7446
1660	26.7379
1661	26.7295
1662	26.7542
1663	26.7222
1664	26.6406
1665	26.6714
1666	26.6708
1667	26.7625
1668	26.7965
1669	26.7764
1670	26.798
1671	26.8015
1672	26.7667
1673	26.8048
1674	26.7715
1675	26.7974
1676	26.7674
1677	26.6712
1678	26.6665
1679	26.7263
1680	26.7944
1681	26.7498
1682	26.7799
1683	26.7948
1684	26.7335
1685	26.7671
1686	26.7803
1687	26.8102
1688	26.8919
1689	26.889
1690	26.9537
1691	26.9508
1692	26.9314
1693	26.969
1694	26.9445
1695	26.9288
1696	26.9351
1697	26.851
1698	26.8804
1699	26.9307
1700	26.9025
1701	26.8305
1702	26.7884
1703	26.7477
1704	26.7811
1705	26.7285
1706	26.7277
1707	26.7007
1708	26.7218
1709	26.7044
1710	26.6982
1711	26.6195
1712	26.6194
1713	26.6509
1714	26.6548
1715	26.6551
1716	26.6888
1717	26.6402
1718	26.6548
1719	26.6122
1720	26.556
1721	26.5199
1722	26.3666
1723	26.3503
1724	26.3147
1725	26.3081
1726	26.2465
1727	26.2056
1728	26.184
1729	26.1883
1730	26.1917
1731	26.2356
1732	26.2977
1733	26.2609
1734	26.2332
1735	26.2645
1736	26.3298
1737	26.3884
1738	26.383
1739	26.2759
1740	26.2928
1741	26.2941
1742	26.3528
1743	26.36
1744	26.3365
1745	26.3789
1746	26.3311
1747	26.4465
1748	26.4898
1749	26.532
1750	26.577
1751	26.5645
1752	26.5481
1753	26.5646
1754	26.5343
1755	26.5075
1756	26.5214
1757	26.524
1758	26.4879
1759	26.5018
1760	26.5575
1761	26.5747
1762	26.5331
1763	26.5484
1764	26.4882
1765	26.48
1766	26.5288
1767	26.5543
1768	26.504
1769	26.3945
1770	26.3473
1771	26.3414
1772	26.3759
1773	26.306
1774	26.2314
1775	26.2358
1776	26.2131
1777	26.1964
1778	26.1967
1779	26.2474
1780	26.173
1781	26.1599
1782	26.1481
1783	26.1366
1784	26.174
1785	26.2147
1786	26.2432
1787	26.2352
1788	26.2086
1789	26.2278
1790	26.1873
1791	26.1491
1792	26.13
1793	26.0476
1794	26.0419
1795	26.0414
1796	26.0335
1797	25.9709
1798	26.0109
1799	26.077
1800	26.018
1801	25.9956
1802	26.0204
1803	26.0113
1804	25.9947
1805	25.9839
1806	26.0094
1807	25.9871
1808	25.9252
1809	25.9846
1810	25.921
1811	25.9181
1812	25.8647
